,kcft_x_position,kcft_y_position,template_x_position,template_y_position,nn_status,template_status,validation_status,health,round_timer
0,51,93,79,145,idle,idle_0,jump_forward,100.0,0
1,51,93,79,145,idle,idle_0,jump_forward,100.0,0
2,46,86,67,131,jump,jump_forward_3,jump_forward,100.0,0
3,44,83,64,124,walking,jump_forward_3,jump_forward,100.0,0
4,44,83,64,124,punch,jump_forward_3,jump_forward,100.0,0
5,43,81,62,120,jump,jump_forward_3,jump_forward,100.0,0
6,42,69,68,102,jump,jump_3,forward_high_punch,100.0,0
7,41,67,66,98,jump,jump_3,forward_high_punch,100.0,0
8,123,56,213,86,punch,backroll_4,forward_high_punch,100.0,0
9,123,56,213,86,punch,backroll_4,forward_high_punch,100.0,0
10,124,56,214,86,kick,backroll_4,forward_high_punch,100.0,0
11,124,56,215,86,kick,backroll_4,forward_high_punch,100.0,0
12,124,57,216,87,kick,backroll_4,forward_high_punch,100.0,0
13,125,57,203,86,kick,crouch_high_kick_2,forward_high_punch,100.0,0
14,126,57,213,86,kick,backroll_4,forward_high_punch,100.0,0
15,125,57,200,86,kick,crouch_high_kick_2,forward_high_punch,100.0,0
16,126,57,201,86,kick,crouch_high_kick_2,forward_high_punch,100.0,0
17,127,57,202,86,kick,crouch_high_kick_2,forward_high_punch,100.0,0
18,127,58,202,86,kick,crouch_high_kick_2,forward_high_punch,100.0,0
19,127,58,203,86,kick,crouch_high_kick_2,forward_high_punch,100.0,0
20,127,58,204,86,kick,crouch_high_kick_2,forward_high_punch,100.0,0
21,128,58,204,86,kick,crouch_high_kick_2,forward_high_punch,100.0,0
22,128,58,205,86,kick,crouch_high_kick_2,forward_high_punch,100.0,0
23,128,58,206,86,kick,crouch_high_kick_2,forward_high_punch,100.0,0
24,128,58,207,86,kick,crouch_high_kick_2,forward_high_punch,100.0,0
25,128,58,207,86,kick,crouch_high_kick_2,forward_high_punch,100.0,0
26,128,58,208,86,kick,crouch_high_kick_2,forward_high_punch,100.0,0
27,128,58,209,86,kick,crouch_high_kick_2,forward_high_punch,100.0,0
28,128,58,214,86,kick,crouch_high_kick_2,forward_high_punch,100.0,0
29,128,58,215,86,kick,crouch_high_kick_2,forward_high_punch,100.0,0
30,128,58,211,86,kick,crouch_high_kick_2,forward_high_punch,100.0,0
31,128,58,211,86,kick,crouch_high_kick_2,forward_high_punch,100.0,0
32,128,57,215,86,kick,crouch_high_kick_2,forward_high_punch,100.0,0
33,128,57,216,86,kick,crouch_high_kick_2,forward_high_punch,100.0,0
34,128,57,217,86,kick,crouch_high_kick_2,forward_high_punch,100.0,0
35,128,57,218,86,kick,crouch_high_kick_2,forward_high_punch,100.0,0
36,128,57,219,86,kick,crouch_high_kick_2,forward_high_punch,100.0,0
