,kcft_x_position,kcft_y_position,template_x_position,template_y_position,nn_status,template_status,validation_status,health,round_timer
0,49,93,77,142,N/A,high_kick_0,backroll,100.0,0
1,49,93,77,143,N/A,high_kick_0,backroll,100.0,0
2,49,94,175,161,N/A,backroll_4,backroll,100.0,0
3,49,94,176,162,N/A,backroll_4,backroll,100.0,0
4,49,95,174,163,N/A,backroll_4,backroll,100.0,0
5,49,95,175,164,N/A,backroll_4,backroll,100.0,0
6,50,95,176,164,N/A,backroll_4,backroll,100.0,0
7,49,96,176,165,N/A,backroll_4,backroll,100.0,0
8,50,96,206,162,N/A,crouch_high_kick_2,backroll,100.0,0
9,48,97,204,163,N/A,crouch_high_kick_2,backroll,100.0,0
10,47,97,203,163,N/A,crouch_high_kick_2,backroll,100.0,0
11,46,97,202,165,N/A,crouch_high_kick_2,backroll,100.0,0
12,45,97,201,165,N/A,crouch_high_kick_2,backroll,100.0,0
13,44,98,199,166,N/A,crouch_high_kick_2,backroll,100.0,0
14,115,96,203,166,N/A,crouch_high_kick_2,backroll,100.0,0
15,114,97,189,170,N/A,backroll_4,backroll,100.0,0
16,114,97,188,169,N/A,backroll_4,backroll,100.0,0
17,113,97,187,169,N/A,backroll_4,backroll,100.0,0
18,113,98,187,171,N/A,backroll_4,backroll,100.0,0
19,113,98,185,171,N/A,backroll_4,backroll,100.0,0
20,112,98,185,171,N/A,backroll_4,backroll,100.0,0
21,112,98,185,171,N/A,backroll_4,backroll,100.0,0
22,111,98,185,171,N/A,backroll_4,backroll,100.0,0
23,111,98,185,171,N/A,backroll_4,backroll,100.0,0
24,111,98,228,166,N/A,crouch_0,backroll,100.0,0
25,110,98,226,166,N/A,crouch_0,backroll,100.0,0
26,110,98,227,166,N/A,crouch_0,backroll,100.0,0
27,109,98,217,165,N/A,crouch_high_kick_0,backroll,100.0,0
28,109,98,218,165,N/A,crouch_high_kick_0,backroll,100.0,0
29,109,98,221,165,N/A,crouch_high_kick_0,backroll,100.0,0
30,108,97,220,164,N/A,crouch_high_kick_0,backroll,100.0,0
31,108,97,220,164,N/A,crouch_high_kick_0,backroll,100.0,0
32,107,97,220,164,kick,crouch_high_kick_0,jump,100.0,0
33,108,96,221,164,kick,crouch_0,jump,100.0,0
34,107,96,220,164,kick,crouch_0,jump,100.0,0
35,106,96,37,141,kick,jump_5,jump,100.0,0
36,106,96,34,133,kick,jump_0,jump,100.0,0
37,106,96,34,133,kick,jump_0,jump,100.0,0
38,106,95,38,113,kick,jump_3,med_high_punch,100.0,0
39,105,94,37,106,kick,jump_3,med_high_punch,100.0,0
