,kcft_x_position,kcft_y_position,template_x_position,template_y_position,nn_status,template_status,validation_status,health,round_timer
0,49,93,78,142,N/A,low_punch_0,shoulder_toss,100.0,0
1,49,93,78,143,N/A,low_punch_0,shoulder_toss,100.0,0
2,49,93,78,143,N/A,low_punch_0,shoulder_toss,100.0,0
3,53,94,82,142,N/A,med_high_punch_0,shoulder_toss,100.0,0
4,52,94,82,143,N/A,med_high_punch_0,shoulder_toss,100.0,0
5,65,94,93,144,N/A,med_high_punch_1,shoulder_toss,100.0,0
6,65,94,93,145,N/A,med_high_punch_1,shoulder_toss,100.0,0
7,64,94,93,145,N/A,med_high_punch_1,shoulder_toss,100.0,0
8,65,95,93,146,N/A,med_high_punch_1,shoulder_toss,100.0,0
9,64,95,93,146,N/A,med_high_punch_1,shoulder_toss,100.0,0
10,65,95,93,146,N/A,med_high_punch_1,shoulder_toss,100.0,0
11,64,96,82,146,N/A,med_high_punch_0,shoulder_toss,100.0,0
12,65,96,82,146,N/A,med_high_punch_0,shoulder_toss,100.0,0
13,64,96,82,147,N/A,med_high_punch_0,shoulder_toss,100.0,0
14,65,96,82,147,N/A,med_high_punch_0,shoulder_toss,100.0,0
15,64,96,82,147,N/A,med_high_punch_0,shoulder_toss,100.0,0
16,65,97,82,148,N/A,med_high_punch_0,shoulder_toss,100.0,0
17,64,97,82,148,N/A,med_high_punch_0,shoulder_toss,100.0,0
18,65,97,82,148,N/A,med_high_punch_0,shoulder_toss,100.0,0
19,64,97,82,148,N/A,med_high_punch_0,shoulder_toss,100.0,0
20,65,97,82,149,N/A,med_high_punch_0,shoulder_toss,100.0,0
21,62,97,78,151,N/A,low_punch_0,shoulder_toss,100.0,0
22,62,98,78,151,N/A,low_punch_0,shoulder_toss,100.0,0
23,61,98,78,151,N/A,low_punch_0,shoulder_toss,100.0,0
24,62,98,78,151,N/A,low_punch_0,shoulder_toss,100.0,0
25,61,98,78,151,N/A,low_punch_0,shoulder_toss,100.0,0
26,62,98,78,151,N/A,low_punch_0,shoulder_toss,100.0,0
27,61,98,78,152,N/A,low_punch_0,shoulder_toss,100.0,0
28,62,98,78,152,N/A,low_punch_0,shoulder_toss,100.0,0
29,61,98,78,152,N/A,low_punch_0,shoulder_toss,100.0,0
30,62,98,78,152,N/A,low_punch_0,shoulder_toss,100.0,0
31,61,98,78,152,N/A,low_punch_0,shoulder_toss,100.0,0
