,kcft_x_position,kcft_y_position,template_x_position,template_y_position,nn_status,template_status,validation_status,health,round_timer
0,29,85,79,154,kick,crouch_high_kick_0,crouch_high_kick,100.0,99
1,29,85,79,154,kick,crouch_high_kick_0,crouch_high_kick,100.0,99
2,29,85,79,154,kick,crouch_high_kick_0,crouch_high_kick,100.0,99
3,29,85,93,156,kick,crouch_high_kick_1,crouch_high_kick,100.0,99
4,29,85,93,156,kick,crouch_high_kick_1,crouch_high_kick,100.0,99
5,29,85,93,156,kick,crouch_high_kick_1,crouch_high_kick,100.0,99
6,29,85,93,156,kick,crouch_high_kick_1,crouch_high_kick,100.0,99
7,29,85,93,156,kick,crouch_high_kick_1,crouch_high_kick,100.0,99
8,29,85,93,156,kick,crouch_high_kick_1,crouch_high_kick,100.0,99
9,29,85,78,156,kick,crouch_high_kick_2,crouch_high_kick,100.0,99
10,29,85,78,156,kick,crouch_high_kick_2,crouch_high_kick,100.0,99
11,29,85,78,156,kick,crouch_high_kick_2,crouch_high_kick,100.0,99
12,29,85,78,156,kick,crouch_high_kick_2,crouch_high_kick,100.0,99
13,29,85,78,156,kick,crouch_high_kick_2,crouch_high_kick,100.0,99
14,29,85,78,156,kick,crouch_high_kick_2,crouch_high_kick,100.0,99
15,29,85,77,155,kick,crouch_high_kick_3,crouch_high_kick,100.0,99
16,29,85,77,155,kick,crouch_high_kick_3,crouch_high_kick,100.0,99
17,29,85,77,155,kick,crouch_high_kick_3,crouch_high_kick,100.0,99
18,29,85,77,156,kick,crouch_high_kick_3,crouch_high_kick,100.0,99
19,29,86,77,157,kick,crouch_high_kick_3,crouch_high_kick,100.0,99
20,29,86,77,158,kick,crouch_high_kick_3,crouch_high_kick,100.0,99
21,29,86,77,158,kick,crouch_high_kick_3,crouch_high_kick,100.0,99
22,29,87,77,159,kick,crouch_high_kick_3,crouch_high_kick,100.0,99
23,29,87,171,88,kick,crouch_high_kick_2,crouch_high_kick,100.0,99
24,28,87,173,89,kick,crouch_high_kick_2,crouch_high_kick,100.0,99
25,27,87,29,146,kick,backroll_5,crouch_high_kick,100.0,99
26,26,88,27,147,kick,backroll_5,crouch_high_kick,100.0,99
27,26,88,218,92,kick,crouch_high_kick_2,crouch_high_kick,100.0,99
28,25,88,24,148,kick,backroll_5,crouch_high_kick,100.0,99
29,24,88,26,147,kick,backroll_5,crouch_high_kick,100.0,99
30,24,88,25,147,kick,backroll_5,crouch_high_kick,100.0,99
31,23,89,78,86,kick,backroll_4,crouch_high_kick,100.0,99
32,22,89,76,86,kick,backroll_4,crouch_high_kick,100.0,99
33,22,89,62,163,kick,crouch_0,crouch_high_kick,100.0,99
34,22,89,62,163,kick,crouch_0,crouch_high_kick,100.0,99
35,21,89,60,163,N/A,crouch_0,backroll,100.0,99
36,21,89,56,150,N/A,high_kick_0,backroll,100.0,98
37,21,89,56,150,N/A,high_kick_0,backroll,100.0,98
38,20,89,55,150,N/A,high_kick_1,backroll,100.0,98
39,20,89,54,150,N/A,high_kick_1,backroll,100.0,98
40,20,89,53,150,N/A,high_kick_1,backroll,100.0,98
41,19,89,52,150,N/A,high_kick_1,backroll,100.0,98
42,19,89,192,87,N/A,crouch_high_kick_2,backroll,100.0,98
43,19,89,192,87,N/A,crouch_high_kick_2,backroll,100.0,98
44,19,89,192,87,N/A,crouch_high_kick_2,backroll,100.0,98
45,19,88,191,86,N/A,crouch_high_kick_2,backroll,100.0,98
46,18,88,192,86,N/A,crouch_high_kick_2,backroll,100.0,98
47,17,88,189,86,N/A,crouch_high_kick_2,backroll,100.0,98
48,17,88,190,89,N/A,crouch_high_kick_2,backroll,100.0,98
49,17,88,188,90,N/A,crouch_high_kick_2,backroll,100.0,98
50,17,88,184,91,N/A,crouch_high_kick_2,backroll,100.0,98
51,16,87,187,87,N/A,crouch_high_kick_2,backroll,100.0,98
52,16,87,185,87,N/A,crouch_high_kick_2,backroll,100.0,98
53,16,87,185,88,N/A,crouch_high_kick_2,backroll,100.0,98
