,kcft_x_position,kcft_y_position,template_x_position,template_y_position,nn_status,template_status,validation_status,health,round_timer
0,50,92,80,129,N/A,tatsumaki_senpuu_kyaku_0,tatsumaki_senpuu_kyaku,100.0,99
1,51,91,82,126,N/A,tatsumaki_senpuu_kyaku_0,tatsumaki_senpuu_kyaku,100.0,99
2,52,91,84,124,N/A,tatsumaki_senpuu_kyaku_0,tatsumaki_senpuu_kyaku,100.0,99
3,53,90,86,122,N/A,tatsumaki_senpuu_kyaku_0,tatsumaki_senpuu_kyaku,100.0,99
4,54,88,88,120,N/A,tatsumaki_senpuu_kyaku_0,tatsumaki_senpuu_kyaku,100.0,99
5,58,77,95,108,N/A,jump_high_kick_0,tatsumaki_senpuu_kyaku,100.0,99
6,58,77,97,106,N/A,jump_high_kick_0,tatsumaki_senpuu_kyaku,100.0,99
7,58,77,93,125,N/A,tatsumaki_senpuu_kyaku_1,tatsumaki_senpuu_kyaku,100.0,99
8,58,76,93,124,N/A,tatsumaki_senpuu_kyaku_1,tatsumaki_senpuu_kyaku,100.0,99
9,58,76,94,124,N/A,tatsumaki_senpuu_kyaku_1,tatsumaki_senpuu_kyaku,100.0,99
10,67,77,106,108,N/A,jump_high_kick_1,tatsumaki_senpuu_kyaku,100.0,99
11,68,77,108,108,N/A,jump_high_kick_1,tatsumaki_senpuu_kyaku,100.0,99
12,67,77,96,123,N/A,tatsumaki_senpuu_kyaku_3,tatsumaki_senpuu_kyaku,100.0,99
13,66,77,97,123,N/A,tatsumaki_senpuu_kyaku_3,tatsumaki_senpuu_kyaku,100.0,99
14,66,77,98,123,N/A,tatsumaki_senpuu_kyaku_3,tatsumaki_senpuu_kyaku,100.0,99
15,65,77,91,125,N/A,tatsumaki_senpuu_kyaku_4,tatsumaki_senpuu_kyaku,100.0,99
16,65,77,192,128,N/A,jump_punch_0,tatsumaki_senpuu_kyaku,100.0,99
17,65,77,192,128,N/A,jump_punch_0,tatsumaki_senpuu_kyaku,100.0,99
18,61,93,100,124,N/A,tatsumaki_senpuu_kyaku_5,tatsumaki_senpuu_kyaku,100.0,99
19,60,93,100,124,N/A,tatsumaki_senpuu_kyaku_5,tatsumaki_senpuu_kyaku,100.0,99
20,60,93,101,124,N/A,tatsumaki_senpuu_kyaku_5,tatsumaki_senpuu_kyaku,100.0,99
21,59,94,114,108,N/A,jump_high_kick_1,tatsumaki_senpuu_kyaku,100.0,99
22,58,94,116,108,N/A,jump_high_kick_1,tatsumaki_senpuu_kyaku,100.0,99
23,58,94,116,108,N/A,jump_high_kick_1,tatsumaki_senpuu_kyaku,100.0,99
24,57,94,105,123,N/A,tatsumaki_senpuu_kyaku_3,tatsumaki_senpuu_kyaku,100.0,99
25,57,94,106,123,N/A,tatsumaki_senpuu_kyaku_3,tatsumaki_senpuu_kyaku,100.0,99
26,56,94,106,123,N/A,tatsumaki_senpuu_kyaku_3,tatsumaki_senpuu_kyaku,100.0,99
27,56,94,189,120,N/A,forward_jump_low_punch_0,tatsumaki_senpuu_kyaku,100.0,99
28,55,94,189,120,N/A,forward_jump_low_punch_0,tatsumaki_senpuu_kyaku,100.0,99
29,55,94,102,125,N/A,tatsumaki_senpuu_kyaku_4,tatsumaki_senpuu_kyaku,100.0,99
30,53,94,108,124,N/A,tatsumaki_senpuu_kyaku_5,tatsumaki_senpuu_kyaku,100.0,99
31,53,94,109,124,N/A,tatsumaki_senpuu_kyaku_5,tatsumaki_senpuu_kyaku,100.0,99
32,52,94,109,124,N/A,tatsumaki_senpuu_kyaku_5,tatsumaki_senpuu_kyaku,100.0,99
33,52,94,123,108,N/A,jump_high_kick_1,tatsumaki_senpuu_kyaku,100.0,99
34,52,94,125,108,N/A,jump_high_kick_1,tatsumaki_senpuu_kyaku,100.0,99
35,51,94,125,108,N/A,jump_high_kick_1,tatsumaki_senpuu_kyaku,100.0,98
36,50,94,114,123,N/A,tatsumaki_senpuu_kyaku_3,tatsumaki_senpuu_kyaku,100.0,98
