,kcft_x_position,kcft_y_position,template_x_position,template_y_position,nn_status,template_status,validation_status,health,round_timer
0,49,93,78,140,N/A,hadouken_0,hadouken,100.0,0
1,49,93,78,140,N/A,hadouken_0,hadouken,100.0,0
2,50,93,87,144,N/A,hadouken_1,hadouken,100.0,0
3,50,93,87,144,N/A,hadouken_1,hadouken,100.0,0
4,50,93,87,144,N/A,hadouken_1,hadouken,100.0,0
5,50,93,87,144,N/A,hadouken_1,hadouken,100.0,0
6,50,93,87,144,N/A,hadouken_1,hadouken,100.0,0
7,50,93,87,144,N/A,hadouken_1,hadouken,100.0,0
8,53,94,89,144,N/A,hadouken_2,hadouken,100.0,0
9,63,92,89,148,N/A,hadouken_4,hadouken,100.0,0
10,62,92,88,148,N/A,hadouken_4,hadouken,100.0,0
11,61,92,87,148,N/A,hadouken_4,hadouken,100.0,0
12,60,92,85,148,N/A,hadouken_4,hadouken,100.0,0
13,60,92,84,148,N/A,hadouken_4,hadouken,100.0,0
14,60,92,83,148,N/A,hadouken_4,hadouken,100.0,0
15,59,92,82,148,N/A,hadouken_4,hadouken,100.0,0
16,58,92,81,148,N/A,hadouken_4,hadouken,100.0,0
17,58,92,80,148,N/A,hadouken_4,hadouken,100.0,0
18,57,92,78,148,N/A,hadouken_4,hadouken,100.0,0
19,57,92,78,148,N/A,hadouken_4,hadouken,100.0,0
20,57,92,78,148,N/A,hadouken_4,hadouken,100.0,0
21,57,92,78,148,N/A,hadouken_4,hadouken,100.0,0
22,57,92,78,148,N/A,hadouken_4,hadouken,100.0,0
23,56,92,76,148,N/A,hadouken_4,hadouken,100.0,0
24,55,92,74,149,N/A,hadouken_4,hadouken,100.0,0
25,54,93,73,150,N/A,hadouken_4,hadouken,100.0,0
26,53,93,71,150,N/A,hadouken_4,hadouken,100.0,0
27,53,93,70,151,N/A,hadouken_4,hadouken,100.0,0
28,53,94,69,152,N/A,hadouken_4,hadouken,100.0,0
29,52,94,68,152,N/A,hadouken_4,hadouken,100.0,0
30,51,94,67,153,N/A,hadouken_4,hadouken,100.0,0
31,51,94,66,153,N/A,hadouken_4,hadouken,100.0,0
32,51,95,65,154,N/A,hadouken_4,hadouken,100.0,0
33,50,95,64,154,N/A,hadouken_4,hadouken,100.0,0
34,49,95,63,154,N/A,hadouken_4,hadouken,100.0,0
35,48,95,61,155,N/A,hadouken_4,hadouken,100.0,0
36,48,95,60,155,N/A,hadouken_4,hadouken,100.0,0
37,48,95,59,155,N/A,hadouken_4,hadouken,100.0,0
38,47,96,58,156,N/A,hadouken_4,hadouken,100.0,0
39,46,96,57,156,N/A,hadouken_4,hadouken,100.0,0
40,46,96,56,156,N/A,hadouken_4,hadouken,100.0,0
41,46,96,55,156,N/A,hadouken_4,hadouken,100.0,0
42,45,96,54,156,N/A,hadouken_4,hadouken,100.0,0
43,44,96,53,156,N/A,hadouken_4,hadouken,100.0,0
44,44,96,52,156,N/A,hadouken_4,hadouken,100.0,0
45,44,96,51,156,N/A,hadouken_4,hadouken,100.0,0
46,43,96,50,156,N/A,hadouken_4,hadouken,100.0,0
47,42,96,49,156,N/A,hadouken_4,hadouken,100.0,0
48,42,96,48,156,N/A,hadouken_4,hadouken,100.0,0
49,42,96,47,156,N/A,hadouken_4,hadouken,100.0,0
50,42,96,47,156,N/A,hadouken_4,hadouken,100.0,0
51,26,97,31,151,N/A,idle_2,shoulder_toss,100.0,0
52,26,96,31,149,N/A,low_punch_0,shoulder_toss,100.0,0
53,26,96,30,149,N/A,low_punch_0,shoulder_toss,100.0,0
54,25,96,29,149,N/A,low_punch_0,shoulder_toss,100.0,0
55,29,95,32,146,N/A,med_high_punch_0,shoulder_toss,100.0,0
56,28,95,31,146,N/A,med_high_punch_0,shoulder_toss,100.0,0
57,30,95,41,147,N/A,med_high_punch_1,shoulder_toss,100.0,0
58,29,95,40,146,N/A,med_high_punch_1,shoulder_toss,100.0,0
59,29,95,39,146,N/A,med_high_punch_1,shoulder_toss,100.0,0
60,29,94,39,145,N/A,med_high_punch_1,shoulder_toss,100.0,0
61,29,94,39,145,N/A,med_high_punch_1,shoulder_toss,100.0,0
62,29,94,39,144,N/A,med_high_punch_1,shoulder_toss,100.0,0
63,27,94,28,143,N/A,med_high_punch_0,shoulder_toss,100.0,0
64,27,93,28,142,N/A,med_high_punch_0,shoulder_toss,100.0,0
65,27,93,28,141,N/A,med_high_punch_0,shoulder_toss,100.0,0
66,27,92,28,140,N/A,med_high_punch_0,shoulder_toss,100.0,0
67,27,92,28,140,N/A,med_high_punch_0,shoulder_toss,100.0,0
68,27,92,28,140,N/A,med_high_punch_0,shoulder_toss,100.0,0
69,27,92,28,140,N/A,med_high_punch_0,shoulder_toss,100.0,0
70,27,92,28,140,N/A,med_high_punch_0,shoulder_toss,100.0,0
71,27,92,28,140,N/A,med_high_punch_0,shoulder_toss,100.0,0
72,27,92,28,140,N/A,med_high_punch_0,shoulder_toss,100.0,0
73,23,92,24,142,N/A,low_punch_0,shoulder_toss,100.0,0
74,23,92,24,142,N/A,low_punch_0,shoulder_toss,100.0,0
75,23,92,24,142,N/A,low_punch_0,shoulder_toss,100.0,0
76,23,92,24,142,N/A,low_punch_0,shoulder_toss,100.0,0
77,23,92,24,142,N/A,low_punch_0,shoulder_toss,100.0,0
78,23,92,24,142,N/A,low_punch_0,shoulder_toss,100.0,0
79,23,92,24,142,N/A,low_punch_0,shoulder_toss,100.0,0
80,23,92,24,142,N/A,low_punch_0,shoulder_toss,100.0,0
81,23,92,24,142,N/A,low_punch_0,shoulder_toss,100.0,0
82,23,92,24,142,N/A,low_punch_0,shoulder_toss,100.0,0
83,23,92,24,142,N/A,low_punch_0,shoulder_toss,100.0,0
84,23,92,24,142,N/A,low_punch_0,shoulder_toss,100.0,0
85,23,92,23,143,N/A,idle_2,shoulder_toss,100.0,0
86,23,92,23,143,N/A,idle_2,shoulder_toss,100.0,0
87,23,92,23,143,jump,idle_2,high_kick,100.0,0
88,108,89,195,131,kick,jump_high_kick_0,high_kick,100.0,0
89,108,89,155,120,kick,forward_jump_med_high_kick_0,high_kick,100.0,0
90,108,89,57,132,kick,crouch_high_kick_0,high_kick,100.0,0
91,108,89,57,132,kick,crouch_high_kick_0,high_kick,100.0,0
92,108,89,57,132,kick,crouch_high_kick_0,high_kick,100.0,0
93,108,89,57,132,kick,crouch_high_kick_0,high_kick,100.0,0
94,108,89,129,123,kick,knockdown_0,high_kick,100.0,0
95,108,89,129,123,kick,knockdown_0,high_kick,100.0,0
96,108,89,54,133,kick,crouch_high_kick_1,high_kick,100.0,0
97,108,89,54,133,kick,crouch_high_kick_1,high_kick,100.0,0
98,108,89,54,133,kick,crouch_high_kick_1,high_kick,100.0,0
99,108,89,54,133,kick,crouch_high_kick_1,high_kick,100.0,0
100,108,89,135,124,kick,hit_1,high_kick,100.0,0
101,108,89,135,124,kick,hit_1,high_kick,100.0,0
102,108,89,130,121,kick,forward_jump_med_high_kick_0,high_kick,100.0,0
103,108,89,130,121,kick,forward_jump_med_high_kick_0,high_kick,100.0,0
104,108,89,54,133,kick,crouch_high_kick_1,high_kick,100.0,0
105,108,89,54,133,kick,crouch_high_kick_1,high_kick,100.0,0
106,108,89,54,133,jump,crouch_high_kick_1,high_kick,100.0,0
107,108,89,54,133,jump,crouch_high_kick_1,high_kick,100.0,0
108,108,89,115,126,jump,jump_high_kick_0,high_kick,100.0,0
109,108,89,115,126,jump,jump_high_kick_0,high_kick,100.0,0
110,108,89,55,134,jump,crouch_high_kick_1,high_kick,100.0,0
111,108,89,55,134,jump,crouch_high_kick_1,high_kick,100.0,0
112,108,89,55,134,jump,crouch_high_kick_1,high_kick,100.0,0
113,108,89,55,134,jump,crouch_high_kick_1,high_kick,100.0,0
114,108,89,55,134,jump,crouch_high_kick_1,high_kick,100.0,0
115,108,89,55,134,jump,crouch_high_kick_1,high_kick,100.0,0
116,108,89,55,134,jump,crouch_high_kick_1,high_kick,100.0,0
117,108,89,55,134,jump,crouch_high_kick_1,high_kick,100.0,0
118,108,89,106,120,jump,forward_jump_med_high_kick_0,high_kick,100.0,0
119,108,89,106,120,jump,forward_jump_med_high_kick_0,high_kick,100.0,0
120,108,89,55,134,jump,crouch_high_kick_1,high_kick,100.0,0
121,108,89,55,134,jump,crouch_high_kick_1,high_kick,100.0,0
122,108,89,55,134,jump,crouch_high_kick_1,high_kick,100.0,0
123,108,89,55,134,jump,crouch_high_kick_1,high_kick,100.0,0
124,108,89,91,128,jump,jump_high_kick_0,high_kick,100.0,0
125,108,89,91,128,jump,jump_high_kick_0,high_kick,100.0,0
126,108,89,93,130,jump,jump_high_kick_0,high_kick,100.0,0
127,108,89,93,130,jump,jump_high_kick_0,high_kick,100.0,0
128,108,89,55,134,jump,crouch_high_kick_1,high_kick,100.0,0
129,108,89,55,134,jump,crouch_high_kick_1,high_kick,100.0,0
130,108,89,57,132,jump,crouch_high_kick_0,high_kick,100.0,0
131,108,89,57,132,jump,crouch_high_kick_0,high_kick,100.0,0
132,108,89,85,122,jump,victory_2,high_kick,100.0,0
133,108,89,85,122,jump,victory_2,high_kick,100.0,0
134,108,89,81,120,jump,victory_2,high_kick,100.0,0
135,108,89,81,120,jump,victory_2,high_kick,100.0,0
136,108,89,58,132,jump,crouch_high_kick_0,high_kick,100.0,0
137,108,89,58,132,jump,crouch_high_kick_0,high_kick,100.0,0
138,108,89,59,132,jump,crouch_high_kick_0,high_kick,100.0,0
139,108,89,59,132,jump,crouch_high_kick_0,high_kick,100.0,0
140,108,89,58,123,kick,crouch_0,high_kick,100.0,0
141,108,89,58,123,kick,crouch_0,high_kick,100.0,0
142,108,89,57,123,kick,crouch_0,high_kick,100.0,0
143,108,89,57,123,kick,crouch_0,high_kick,100.0,0
144,108,89,57,123,kick,crouch_0,high_kick,100.0,0
145,108,89,27,143,jump,idle_2,forward_high_punch,100.0,0
146,108,89,27,143,jump,idle_2,crouch,100.0,0
147,108,89,30,145,jump,idle_0,jump,100.0,0
148,109,89,72,125,jump,hit_1,forward_high_punch,100.0,0
149,109,89,72,125,jump,hit_1,forward_high_punch,100.0,0
150,109,89,31,142,kick,low_punch_0,forward_high_punch,100.0,0
151,109,89,31,142,kick,low_punch_0,forward_high_punch,100.0,0
152,109,89,32,142,punch,low_punch_0,forward_high_punch,100.0,0
153,109,89,32,142,punch,low_punch_0,forward_high_punch,100.0,0
154,109,89,33,142,jump,low_punch_0,forward_high_punch,100.0,0
155,109,89,37,140,punch,med_high_punch_0,forward_high_punch,100.0,0
156,109,89,38,140,punch,med_high_punch_0,forward_high_punch,100.0,0
157,109,89,50,141,punch,med_high_punch_1,forward_high_punch,100.0,0
158,109,89,51,141,punch,med_high_punch_1,forward_high_punch,100.0,0
159,110,89,29,142,jump,face_hit_1,forward_high_punch,98.86363632977009,0
160,110,89,31,142,kick,face_hit_1,forward_high_punch,98.86363632977009,0
161,110,89,31,142,kick,face_hit_1,forward_high_punch,97.72727265954018,0
162,109,89,33,142,kick,face_hit_1,forward_high_punch,97.72727265954018,0
163,109,89,32,142,kick,face_hit_1,forward_high_punch,96.59090898931026,0
164,108,89,34,142,punch,face_hit_1,forward_high_punch,96.59090898931026,0
165,32,91,34,142,punch,face_hit_1,forward_high_punch,95.45454531908035,0
166,33,91,36,142,punch,face_hit_1,forward_high_punch,95.45454531908035,0
167,33,91,36,142,punch,face_hit_1,forward_high_punch,94.31818164885044,0
168,34,91,38,142,punch,face_hit_1,forward_high_punch,94.31818164885044,0
169,34,91,38,142,punch,face_hit_1,forward_high_punch,93.18181797862053,0
170,34,91,39,142,punch,face_hit_1,forward_high_punch,93.18181797862053,0
171,35,91,39,142,jump,face_hit_1,forward_high_punch,92.04545468091965,0
172,35,91,41,142,punch,face_hit_1,forward_high_punch,92.04545468091965,0
173,36,91,41,142,punch,face_hit_1,forward_high_punch,90.9090906381607,0
174,34,91,38,142,jump,face_hit_1,forward_high_punch,90.9090906381607,0
175,34,91,38,142,jump,face_hit_1,forward_high_punch,89.77272734045982,0
176,33,91,36,142,jump,face_hit_1,forward_high_punch,89.77272734045982,0
177,33,91,36,142,jump,face_hit_1,forward_high_punch,88.63636329770088,0
178,32,91,35,142,walking,face_hit_1,forward_high_punch,88.63636329770088,0
179,33,91,35,142,jump,face_hit_1,forward_high_punch,87.5,0
180,32,91,34,142,jump,face_hit_1,forward_high_punch,87.5,0
181,32,91,34,142,jump,face_hit_1,forward_high_punch,86.36363595724106,0
182,31,91,32,142,jump,face_hit_1,forward_high_punch,86.36363595724106,0
183,31,91,32,142,jump,face_hit_1,forward_high_punch,85.22727340459824,0
184,30,91,31,142,jump,face_hit_1,forward_high_punch,85.22727340459824,0
185,31,91,31,142,jump,face_hit_1,forward_high_punch,85.22727340459824,0
186,30,91,31,142,jump,face_hit_1,forward_high_punch,85.22727340459824,0
187,31,91,31,142,jump,face_hit_1,forward_high_punch,85.22727340459824,0
188,29,91,31,141,jump,face_hit_2,forward_high_punch,85.22727340459824,0
