,kcft_x_position,kcft_y_position,template_x_position,template_y_position,nn_status,template_status,validation_status,health,round_timer
0,41,93,62,142,idle,low_punch_0,low_mid_kick,100.0,99
1,41,93,62,142,idle,low_punch_0,low_mid_kick,100.0,99
2,41,93,62,142,idle,low_punch_0,low_mid_kick,100.0,99
3,43,92,57,138,jump,low_mid_kick_0,low_mid_kick,100.0,99
4,43,92,57,138,jump,low_mid_kick_0,low_mid_kick,100.0,99
5,43,92,57,138,jump,low_mid_kick_0,low_mid_kick,100.0,99
6,43,92,54,137,kick,low_mid_kick_1,low_mid_kick,100.0,99
7,43,92,54,137,kick,low_mid_kick_1,low_mid_kick,100.0,99
8,43,92,54,137,kick,low_mid_kick_1,low_mid_kick,100.0,99
9,43,92,54,137,kick,low_mid_kick_1,low_mid_kick,100.0,99
10,43,92,54,137,kick,low_mid_kick_1,low_mid_kick,100.0,99
11,43,92,123,153,kick,crouch_high_kick_3,low_mid_kick,100.0,99
12,43,92,122,153,kick,crouch_high_kick_3,low_mid_kick,100.0,99
13,43,92,119,154,kick,crouch_high_kick_3,low_mid_kick,100.0,99
14,43,92,118,154,jump,crouch_high_kick_3,low_mid_kick,100.0,99
15,43,92,116,154,jump,crouch_high_kick_3,low_mid_kick,100.0,99
16,43,92,116,154,jump,crouch_high_kick_3,low_mid_kick,100.0,99
17,43,92,57,138,jump,low_mid_kick_0,low_mid_kick,100.0,99
18,42,93,62,142,punch,low_punch_0,low_mid_kick,100.0,99
19,42,93,62,142,punch,low_punch_0,low_mid_kick,100.0,99
20,42,93,62,142,punch,low_punch_0,low_mid_kick,100.0,99
21,42,93,62,142,punch,low_punch_0,low_mid_kick,100.0,99
22,42,93,62,142,punch,low_punch_0,low_mid_kick,100.0,98
23,42,93,62,142,punch,low_punch_0,low_mid_kick,100.0,98
24,42,93,62,142,punch,low_punch_0,low_mid_kick,100.0,98
25,42,93,61,143,idle,idle_2,crouch,100.0,98
26,42,92,62,133,N/A,tatsumaki_senpuu_kyaku_0,tatsumaki_senpuu_kyaku,100.0,98
27,43,91,65,129,N/A,tatsumaki_senpuu_kyaku_0,tatsumaki_senpuu_kyaku,100.0,98
28,44,89,67,126,N/A,tatsumaki_senpuu_kyaku_0,tatsumaki_senpuu_kyaku,100.0,98
29,45,88,69,124,N/A,tatsumaki_senpuu_kyaku_0,tatsumaki_senpuu_kyaku,100.0,98
30,47,87,71,122,N/A,tatsumaki_senpuu_kyaku_0,tatsumaki_senpuu_kyaku,100.0,98
31,48,86,73,120,N/A,tatsumaki_senpuu_kyaku_0,tatsumaki_senpuu_kyaku,100.0,98
32,50,77,79,108,N/A,jump_high_kick_0,tatsumaki_senpuu_kyaku,100.0,98
33,51,77,82,106,N/A,jump_high_kick_0,tatsumaki_senpuu_kyaku,100.0,98
34,52,77,84,106,N/A,jump_high_kick_0,tatsumaki_senpuu_kyaku,100.0,98
35,53,76,82,124,N/A,tatsumaki_senpuu_kyaku_1,tatsumaki_senpuu_kyaku,100.0,98
36,54,76,84,124,N/A,tatsumaki_senpuu_kyaku_1,tatsumaki_senpuu_kyaku,100.0,98
